????????	?????	?????	??? ???????	?????
???????	2017	7	???	9570441
???????	2017	7	???	0
??????????	2017	7	???	5108351
??????????	2017	7	???	70683
??? ????	2017	7	???	751073
??? ????	2017	7	???	0
??????	2017	7	???	730759
??????	2017	7	???	0
?????	2017	7	???	592124
?????	2017	7	???	909839
????????	2017	7	???	1851584
????????	2017	7	???	4664905
???????	2017	7	???	1753557
???????	2017	7	???	5438798
?????????	2017	7	???	2411599
?????????	2017	7	???	3236117
??? ?????	2017	7	???	808942
??? ?????	2017	7	???	2567867
??????? 	2017	7	???	1416141
??????? 	2017	7	???	3602404
????????	2017	7	???	897383
????????	2017	7	???	3421699
???????	2017	7	???	1135213
???????	2017	7	???	5064924
???????????	2017	7	???	582990
???????????	2017	7	???	726484
??????	2017	7	???	5283586
??????	2017	7	???	3382504
??? ????	2017	7	???	722269
??? ????	2017	7	???	2448917
??????	2017	7	???	833582
??????	2017	7	???	2781904
??????	2017	7	???	994734
??????	2017	7	???	4532185
?????	2017	7	???	1143956
?????	2017	7	???	3263379
?????	2017	7	???	1060647
?????	2017	7	???	3934508
???	2017	7	???	596948
???	2017	7	???	2584740
?????	2017	7	???	608755
?????	2017	7	???	872691
 ??????	2017	7	???	508547
 ??????	2017	7	???	747156
????? ??????	2017	7	???	348970
????? ??????	2017	7	???	12510
?????? ??????	2017	7	???	111951
?????? ??????	2017	7	???	130349
?????	2017	7	???	269750
?????	2017	7	???	159620
???? ?????	2017	7	???	283946
???? ?????	2017	7	???	168044
???? ?????	2017	7	???	54312
???? ?????	2017	7	???	48195
?????? ?????????	2017	7	???	40432110
?????? ?????????	2017	7	???	54770422
???????	2018	7	???	9717324
???????	2018	7	???	0
??????????	2018	7	???	5176825
??????????	2018	7	???	82993
??? ????	2018	7	???	760152
??? ????	2018	7	???	0
??????	2018	7	???	743193
??????	2018	7	???	0
?????	2018	7	???	606690
?????	2018	7	???	920499
????????	2018	7	???	1925919
????????	2018	7	???	4700516
???????	2018	7	???	1813645
???????	2018	7	???	5518524
?????????	2018	7	???	2456770
?????????	2018	7	???	3287655
??? ?????	2018	7	???	829259
??? ?????	2018	7	???	2615954
??????? 	2018	7	???	1471592
??????? 	2018	7	???	3633042
????????	2018	7	???	927855
????????	2018	7	???	3472673
???????	2018	7	???	1204011
???????	2018	7	???	5133362
???????????	2018	7	???	599699
???????????	2018	7	???	738518
??????	2018	7	???	5368201
??????	2018	7	???	3463513
??? ????	2018	7	???	754502
??? ????	2018	7	???	2494849
??????	2018	7	???	858555
??????	2018	7	???	2846584
??????	2018	7	???	1031380
??????	2018	7	???	4642249
?????	2018	7	???	1189647
?????	2018	7	???	3337918
?????	2018	7	???	1090237
?????	2018	7	???	4038209
???	2018	7	???	609053
???	2018	7	???	2655210
?????	2018	7	???	638486
?????	2018	7	???	877354
 ??????	2018	7	???	522915
 ??????	2018	7	???	759675
????? ??????	2018	7	???	356566
????? ??????	2018	7	???	12553
?????? ??????	2018	7	???	116540
?????? ??????	2018	7	???	130600
?????	2018	7	???	284823
?????	2018	7	???	166105
???? ?????	2018	7	???	288517
???? ?????	2018	7	???	171657
???? ?????	2018	7	???	56297
???? ?????	2018	7	???	48503
?????? ?????????	2018	7	???	41398653
?????? ?????????	2018	7	???	55748715
???????	2019	7	???	9840591
???????	2019	7	???	0
??????????	2019	7	???	5235471
??????????	2019	7	???	92793
??? ????	2019	7	???	767905
??? ????	2019	7	???	0
??????	2019	7	???	754531
??????	2019	7	???	0
?????	2019	7	???	619802
?????	2019	7	???	929133
????????	2019	7	???	1994978
????????	2019	7	???	4730081
???????	2019	7	???	1876108
???????	2019	7	???	5583305
?????????	2019	7	???	2497634
?????????	2019	7	???	3332367
??? ?????	2019	7	???	850691
??? ?????	2019	7	???	2656678
??????? 	2019	7	???	1522905
??????? 	2019	7	???	3659115
????????	2019	7	???	954375
????????	2019	7	???	3519305
???????	2019	7	???	1267059
???????	2019	7	???	5194093
???????????	2019	7	???	616765
???????????	2019	7	???	747084
??????	2019	7	???	5442716
??????	2019	7	???	3539462
??? ????	2019	7	???	785395
??? ????	2019	7	???	2536985
??????	2019	7	???	879886
??????	2019	7	???	2904780
??????	2019	7	???	1070080
??????	2019	7	???	4738767
?????	2019	7	???	1231979
?????	2019	7	???	3406631
?????	2019	7	???	1119363
?????	2019	7	???	4135507
???	2019	7	???	619801
???	2019	7	???	2720609
?????	2019	7	???	666840
?????	2019	7	???	879261
 ??????	2019	7	???	535347
 ??????	2019	7	???	773239
????? ??????	2019	7	???	363696
????? ??????	2019	7	???	12566
?????? ??????	2019	7	???	120787
?????? ??????	2019	7	???	130546
?????	2019	7	???	298526
?????	2019	7	???	172720
???? ?????	2019	7	???	292329
???? ?????	2019	7	???	174542
???? ?????	2019	7	???	58055
???? ?????	2019	7	???	48750
?????? ?????????	2019	7	???	42283615
?????? ?????????	2019	7	???	56618319
???????	2020	7	???	9947046
???????	2020	7	???	0
??????????	2020	7	???	5292665
??????????	2020	7	???	102255
??? ????	2020	7	???	775209
??? ????	2020	7	???	0
??????	2020	7	???	765159
??????	2020	7	???	0
?????	2020	7	???	632099
?????	2020	7	???	937352
????????	2020	7	???	2059157
????????	2020	7	???	4760352
???????	2020	7	???	1938914
???????	2020	7	???	5641965
?????????	2020	7	???	2536220
?????????	2020	7	???	3375142
??? ?????	2020	7	???	872879
??? ?????	2020	7	???	2702544
??????? 	2020	7	???	1571177
??????? 	2020	7	???	3682911
????????	2020	7	???	980305
????????	2020	7	???	3565009
???????	2020	7	???	1328980
???????	2020	7	???	5249801
???????????	2020	7	???	633786
???????????	2020	7	???	754312
??????	2020	7	???	5510799
??????	2020	7	???	3616442
??? ????	2020	7	???	815402
??? ????	2020	7	???	2578472
??????	2020	7	???	896222
??????	2020	7	???	2961763
??????	2020	7	???	1108641
??????	2020	7	???	4832717
?????	2020	7	???	1274600
?????	2020	7	???	3472209
?????	2020	7	???	1149485
?????	2020	7	???	4229314
???	2020	7	???	631102
???	2020	7	???	2796275
?????	2020	7	???	694968
?????	2020	7	???	880946
 ??????	2020	7	???	548792
 ??????	2020	7	???	784517
????? ??????	2020	7	???	371215
????? ??????	2020	7	???	12581
?????? ??????	2020	7	???	125337
?????? ??????	2020	7	???	130751
?????	2020	7	???	313659
?????	2020	7	???	179340
???? ?????	2020	7	???	298656
???? ?????	2020	7	???	187040
???? ?????	2020	7	???	59961
???? ?????	2020	7	???	50761
?????? ?????????	2020	7	???	43132435
?????? ?????????	2020	7	???	57484771
???????	2021	7	???	10044894
???????	2021	7	???	0
??????????	2021	7	???	5334946
??????????	2021	7	???	106920
??? ????	2021	7	???	780515
??? ????	2021	7	???	0
??????	2021	7	???	773840
??????	2021	7	???	0
?????	2021	7	???	640385
?????	2021	7	???	944868
????????	2021	7	???	2100436
????????	2021	7	???	4789526
???????	2021	7	???	1986883
???????	2021	7	???	5695887
?????????	2021	7	???	2565488
?????????	2021	7	???	3417079
??? ?????	2021	7	???	885618
??? ?????	2021	7	???	2735269
??????? 	2021	7	???	1605130
??????? 	2021	7	???	3704310
????????	2021	7	???	995986
????????	2021	7	???	3608613
???????	2021	7	???	1376102
???????	2021	7	???	5300756
???????????	2021	7	???	648018
???????????	2021	7	???	760829
??????	2021	7	???	5565203
??????	2021	7	???	3685588
??? ????	2021	7	???	836439
??? ????	2021	7	???	2619294
??????	2021	7	???	910590
??????	2021	7	???	3017430
??????	2021	7	???	1149215
??????	2021	7	???	4928576
?????	2021	7	???	1308868
?????	2021	7	???	3538867
?????	2021	7	???	1172679
?????	2021	7	???	4313730
???	2021	7	???	637968
???	2021	7	???	2854899
?????	2021	7	???	718519
?????	2021	7	???	881691
 ??????	2021	7	???	560331
 ??????	2021	7	???	792487
????? ??????	2021	7	???	377469
????? ??????	2021	7	???	12601
?????? ??????	2021	7	???	128229
?????? ??????	2021	7	???	130945
?????	2021	7	???	328428
?????	2021	7	???	183117
???? ?????	2021	7	???	302219
???? ?????	2021	7	???	190336
???? ?????	2021	7	???	61493
???? ?????	2021	7	???	51179
?????? ?????????	2021	7	???	43795891
?????? ?????????	2021	7	???	58264797
???????	2022	7	???	10143521
???????	2022	7	???	0
??????????	2022	7	???	5380371
??????????	2022	7	???	111232
??? ????	2022	7	???	785660
??? ????	2022	7	???	0
??????	2022	7	???	783080
??????	2022	7	???	0
?????	2022	7	???	647193
?????	2022	7	???	953714
????????	2022	7	???	2128531
????????	2022	7	???	4840138
???????	2022	7	???	2043888
???????	2022	7	???	5753587
?????????	2022	7	???	2599833
?????????	2022	7	???	3459800
??? ?????	2022	7	???	894368
??? ?????	2022	7	???	2774297
??????? 	2022	7	???	1638137
??????? 	2022	7	???	3735799
????????	2022	7	???	1013487
????????	2022	7	???	3657143
???????	2022	7	???	1405567
???????	2022	7	???	5366532
???????????	2022	7	???	663652
???????????	2022	7	???	766044
??????	2022	7	???	5621871
??????	2022	7	???	3760657
??? ????	2022	7	???	866186
??? ????	2022	7	???	2659811
??????	2022	7	???	924427
??????	2022	7	???	3082418
??????	2022	7	???	1182291
??????	2022	7	???	5028383
?????	2022	7	???	1349712
?????	2022	7	???	3604070
?????	2022	7	???	1197248
?????	2022	7	???	4407700
???	2022	7	???	653746
???	2022	7	???	2913514
?????	2022	7	???	741107
?????	2022	7	???	886978
 ??????	2022	7	???	575675
 ??????	2022	7	???	800385
????? ??????	2022	7	???	383961
????? ??????	2022	7	???	12614
?????? ??????	2022	7	???	131607
?????? ??????	2022	7	???	131418
?????	2022	7	???	342958
?????	2022	7	???	186319
???? ?????	2022	7	???	305795
???? ?????	2022	7	???	193981
???? ?????	2022	7	???	63250
???? ?????	2022	7	???	51383
?????? ?????????	2022	7	???	44467122
?????? ?????????	2022	7	???	59137917
???????	2023	7	???	10248385
???????	2023	7	???	0
??????????	2023	7	???	5435264
??????????	2023	7	???	111399
??? ????	2023	7	???	791749
??? ????	2023	7	???	0
??????	2023	7	???	792551
??????	2023	7	???	0
?????	2023	7	???	654928
?????	2023	7	???	963311
????????	2023	7	???	2135483
????????	2023	7	???	4914521
???????	2023	7	???	2104414
???????	2023	7	???	5804928
?????????	2023	7	???	2638769
?????????	2023	7	???	3498919
??? ?????	2023	7	???	902133
??? ?????	2023	7	???	2816183
??????? 	2023	7	???	1663711
??????? 	2023	7	???	3775374
????????	2023	7	???	1033307
????????	2023	7	???	3703638
???????	2023	7	???	1425250
???????	2023	7	???	5453039
???????????	2023	7	???	679587
???????????	2023	7	???	773156
??????	2023	7	???	5680893
??????	2023	7	???	3833647
??? ????	2023	7	???	900662
??? ????	2023	7	???	2691377
??????	2023	7	???	933054
??????	2023	7	???	3147591
??????	2023	7	???	1207633
??????	2023	7	???	5129962
?????	2023	7	???	1391537
?????	2023	7	???	3670397
?????	2023	7	???	1223088
?????	2023	7	???	4504183
???	2023	7	???	667268
???	2023	7	???	2973648
?????	2023	7	???	760362
?????	2023	7	???	895856
 ??????	2023	7	???	594358
 ??????	2023	7	???	806282
????? ??????	2023	7	???	390456
????? ??????	2023	7	???	12621
?????? ??????	2023	7	???	134976
?????? ??????	2023	7	???	131950
?????	2023	7	???	359676
?????	2023	7	???	188026
???? ?????	2023	7	???	310036
???? ?????	2023	7	???	198073
???? ?????	2023	7	???	65095
???? ?????	2023	7	???	51384
?????? ?????????	2023	7	???	45124625
?????? ?????????	2023	7	???	60049465
