"_v","المحافظة","العام","العدد"
,"المحافظة","العام","العدد"
,"القاهرة","2019","33"
,"الاسكندرية","2019","12"
,"بورسعيد","2019","2"
,"السويس","2019","2"
,"دمياط","2019","2"
,"الدقهلية","2019","-"
,"الشرقية","2019","1"
,"القليوبية","2019","1"
,"كفرالشيخ","2019","-"
,"الغربية","2019","-"
,"الاسماعيلية","2019","3"
,"الجيزة","2019","8"
,"بني سويف","2019",
,"الفيوم","2019",
,"المنيا","2019",
,"اسيوط","2019","1"
,"اسوان","2019","2"
,"سوهاج","2019",
,"قنــــا","2019",
,"الاقصر","2019","1"
,"البحر الأحمر","2019","-"
,"مطروح","2019",
,"الوادى الجديد","2019",
,"شمال سيناء","2019",
,"جنوب سيناء","2019",
,"القاهرة","2018","28"
,"الاسكندرية","2018","12"
,"بورسعيد","2018","2"
,"السويس","2018","2"
,"دمياط","2018","2"
,"الدقهلية","2018","3"
,"الشرقية","2018","2"
,"القليوبية","2018","3"
,"كفرالشيخ","2018","2"
,"الغربية","2018","3"
,"الاسماعيلية","2018","2"
,"الجيزة","2018","10"
,"بني سويف","2018",
,"الفيوم","2018",
,"المنيا","2018",
,"اسيوط","2018","1"
,"اسوان","2018","1"
,"سوهاج","2018",
,"قنــــا","2018",
,"الاقصر","2018","-"
,"البحر الأحمر","2018","1"
,"مطروح","2018","3"
,"الوادى الجديد","2018",
,"شمال سيناء","2018",
,"جنوب سيناء","2018","1"
,"القاهرة","2014","30"
,"الاسكندرية","2014","9"
,"بورسعيد","2014","3"
,"السويس","2014","1"
,"دمياط","2014","4"
,"الدقهلية","2014","1"
,"الشرقية","2014","1"
,"القليوبية","2014","2"
,"كفرالشيخ","2014","2"
,"الغربية","2014","5"
,"الاسماعيلية","2014","3"
,"الجيزة","2014","9"
,"بني سويف","2014",
,"الفيوم","2014",
,"المنيا","2014",
,"اسيوط","2014",
,"اسوان","2014",
,"سوهاج","2014","1"
,"قنــــا","2014","1"
,"الاقصر","2014",
,"البحر الأحمر","2014","1"
,"مطروح","2014",
,"الوادى الجديد","2014",
,"شمال سيناء","2014",
,"جنوب سيناء","2014","1"